nonterminal,first set,nullable,endable
START,struct impl func,yes,yes
ARRAYOPTION,lsqbr intlit,no,no
ASSIGNOP,equal,no,no
FUNCBODY,lcurbr,no,yes
FUNCHEAD,func,no,no
FPARAMS,id,yes,no
IDFACTOR,dot lpar lsqbr,yes,no
IDFACTOR1,lpar lsqbr,yes,no
IDNEST1,dot lpar lsqbr,no,no
APARAMS,id intlit floatlit lpar not eq neq lt gt leq geq plus minus,yes,no
FUNCDECL,func,no,no
PROG,struct impl func,yes,yes
ARITHEXPR,id intlit floatlit lpar not eq neq lt gt leq geq plus minus,no,no
RELOP,eq neq lt gt leq geq,no,no
APARAMSTAIL,comma,no,no
REPTAPARAMS1,comma,yes,no
REPTFPARAMS3,lsqbr,yes,no
FPARAMSTAIL,comma,no,no
REPTFPARAMS4,comma,yes,no
REPTFPARAMSTAIL4,lsqbr,yes,no
REPTFUNCBODY1,let if while read write return lpar equal lsqbr,yes,no
IDNEST,dot,no,no
REPTFUNCTIONCALLORVARIABLE,dot,yes,no
REPTIDNEST1,lsqbr,yes,no
REPTIMPLDEF3,func,yes,no
REPTOPTSTRUCTDECL22,comma,yes,no
REPTPROG0,struct impl func,yes,yes
MEMBERDECL,let func,no,no
ARRAYSIZE,lsqbr,no,no
INDICE,lsqbr,no,no
RETURNTYPE,void integer float id,no,no
ADDOP,plus minus or,no,no
RIGHTRECARITHEXPR,plus minus or,yes,no
MULTOP,mult div and,no,no
SIGN,plus minus,no,no
REPTSTATBLOCK1,if while read write return lpar equal lsqbr,yes,no
ASSIGNSTAT,equal lsqbr,no,no
RELEXPR,eq neq lt gt leq geq,no,no
STATBLOCK,lcurbr if while read write return lpar equal lsqbr,yes,no
EXPR,id intlit floatlit lpar not eq neq lt gt leq geq plus minus,no,no
FUNCTIONCALL,lpar,no,no
OPTSTRUCTDECL2,inherits,yes,no
REPTSTRUCTDECL4,public private,yes,no
STRUCTORIMPLORFUNC,struct impl func,no,yes
STRUCTDECL,struct,no,yes
IMPLDEF,impl,no,yes
FUNCDEF,func,no,yes
TERM,id intlit floatlit lpar not plus minus,no,no
FACTOR,id intlit floatlit lpar not plus minus,no,no
RIGHTRECTERM,mult div and,yes,no
TYPE,integer float id,no,no
REPTVARDECL4,lsqbr,yes,no
VARDECLORSTAT,let if while read write return lpar equal lsqbr,no,no
VARDECL,let,no,no
STATEMENT,if while read write return lpar equal lsqbr,no,no
VARIABLE,lsqbr,yes,no
REPTVARIABLE2,lsqbr,yes,no
VISIBILITY,public private,no,no